Class 0, attribute 0, bin 0, P(bin | class) = 0.09
ID=  441, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  442, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=  443, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  444, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  445, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  446, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=  447, predicted=  6, probability = 0.3315, true=  7, accuracy=0.00

ID=  448, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  449, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  450, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  451, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=  452, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  453, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  454, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  455, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=  456, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  457, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  458, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  459, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  460, predicted=  6, probability = 0.3315, true=  3, accuracy=0.00

ID=  461, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  462, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  463, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  464, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  465, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=  466, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  467, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  468, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  469, predicted=  6, probability = 0.3315, true=  6, accuracy=1.00

ID=  470, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  471, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  472, predicted=  6, probability = 0.3315, true=  3, accuracy=0.00

ID=  473, predicted=  6, probability = 0.3315, true=  7, accuracy=0.00

ID=  474, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  475, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  476, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  477, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

ID=  478, predicted=  6, probability = 0.3315, true=  4, accuracy=0.00

ID=  479, predicted=  6, probability = 0.3315, true=  2, accuracy=0.00

ID=  480, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  481, predicted=  6, probability = 0.3315, true=  7, accuracy=0.00

ID=  482, predicted=  6, probability = 0.3315, true=  1, accuracy=0.00

ID=  483, predicted=  6, probability = 0.3315, true=  0, accuracy=0.00

Total Accuracy : 0.30165
